"Non Component Description","Color Code","Type","Location ID","Shift ID","Depth Top","Depth Base","Description","Legend Code","Geology Code","Geology Code 2","Stratum Reference","Remarks","Soil Name","USCS","AASHTO","Consistency Min","Consistency Max","Density Min","Density Max","Color","Moisture","Plasticity","Soil Particle Size","Soil Particle Angularity","Additional Description","Geological formation","Rock Name Qualifier","Rock Name","Rock Grain Size","Bedding Min","Bedding Max","Weathering","Rock Hardness Min","Rock Hardness Conjunction","Rock Hardness Max","Fracture Spacing Min","Fracture Spacing Max","Boundary"
"","","Soil","SB-28","","0.00","5.00","SANDY Lean CLAY (CL), dark brown (10 YR 3/3), stiff, dry, medium plasticity, fine to medium grained SAND, some tree roots, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-5","","15.70","40.00","SANDY Lean CLAY (CL), hard, reddish brown (5 YR 5/3), moist, medium plasticity, NATIVE","CL","","","","","Gravelly Lean CLAY with sand","CL","","","","","","","dry","medium plasticity","","","","","","","","","","","","","","","","None"
"","","Rock","SB-33","","20.00","30.00"," light gray (7.5 YR 7/1), BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-39","","51.10","","Terminated @ 51.1 ft bgs because of SPT and coring refusal. GW encountered @ 25.0 ft bgs. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Rock","SB-4","","50.00","70.00","very fine platy structure, trace fine SAND, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-36","","36.50","47.00","Poorly graded SAND (SP), dense, olive brown (2.5 YR 4/3), moist, WASTE","SP","","","","","","SP","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-21","","25.00","30.00","Very dark gray (10 YR 3/1), some cohesion (likely from pulverized rock mixed with water), NATIVE BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-32","","0.00","25.00","Sandy SILT (ML), very stiff, color: dark greenish gray  (GLEY 4/1 10GY), secondary color: reddish brown (5 YR 5/4), dry, WASTE","ML","","","","","","ML","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-28","","7.50","10.00","GRAVELLY Lean CLAY (CL) dark reddish brown (2.5YR 3/4), damp, stiff, low to medium plasticity, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-2","","35.00","42.00"," light brownish gray (2.5 YR 6/2), BEDROCK ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-14","","25.00","26.50","Moist, fine to coarse SAND, dark bluish gray (GLEY 4/10B), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-7","","20.00","61.50","SANDY lean CLAY with GRAVEL (CL), stiff, reddish brown (2.5 YR 5/4), dry, fine to coarse SAND, angular GRAVEL, medium plasticity, WASTE","CL","","","","","Lean CLAY with sand","CL","","","","","","","dry","medium plasticity","","","","","","","","","","","","","","","","None"
"","","Soil","SB-2","","20.00","25.00","pale brown (7.5 YR 7/3), cemented, BEDROCK ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-36","","75.00","80.00","fresh, hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-11","","9.00","16.50","Medium dense, gray (10 YR 6/1), moist, fine to coarse sand, medium plasticity, WASTE","","","","","","Gravelly Lean CLAY with sand","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-23","","31.00","50.60","moderately weathered, moderately hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-37","","19.80","25.00","SILT (ML), light olive gray (5Y 6/2), dry to damp, stiff, NATIVE","ML","","","","","","ML","","","","","","","","","","","","","","","","","","","","","","","","Solid"
